URN (do not edit)	SOURCE Slot (do not edit)	Data Type	Permitted Value	MDR Path (do not edit)	Matching Input (can be edited)
urn:ccdg:dataelement:22:4		ENUMERATED	Not mutated	Molecular markers / KRAS mutation status / KRAS exon 4 (codons 117 or 146) mutation status = Not mutated	Molecular markers / KRAS mutation status / KRAS exon 4 (codons 117 or 146) mutation status = Not mutated
urn:ccdg:dataelement:21:5		ENUMERATED	Not done	Molecular markers / KRAS mutation status / KRAS exon 3 (codons 59 or 61) = Not done	Molecular markers / KRAS mutation status / KRAS exon 3 (codons 59 or 61) = Not done
urn:ccdg:dataelement:21:5		ENUMERATED	Mutated	Molecular markers / KRAS mutation status / KRAS exon 3 (codons 59 or 61) = Mutated	Molecular markers / KRAS mutation status / KRAS exon 3 (codons 59 or 61) = Mutated
urn:ccdg:dataelement:21:5		ENUMERATED	Not mutated	Molecular markers / KRAS mutation status / KRAS exon 3 (codons 59 or 61) = Not mutated	Molecular markers / KRAS mutation status / KRAS exon 3 (codons 59 or 61) = Not mutated
urn:ccdg:dataelement:20:3		ENUMERATED	Not done	Molecular markers / KRAS mutation status / KRAS exon 2 (codons 12 or 13) = Not done	Molecular markers / KRAS mutation status / KRAS exon 2 (codons 12 or 13) = Not done
urn:ccdg:dataelement:20:3		ENUMERATED	Mutated	Molecular markers / KRAS mutation status / KRAS exon 2 (codons 12 or 13) = Mutated	Molecular markers / KRAS mutation status / KRAS exon 2 (codons 12 or 13) = Mutated
urn:ccdg:dataelement:20:3		ENUMERATED	Not mutated	Molecular markers / KRAS mutation status / KRAS exon 2 (codons 12 or 13) = Not mutated	Molecular markers / KRAS mutation status / KRAS exon 2 (codons 12 or 13) = Not mutated
urn:ccdg:dataelement:87:1		ENUMERATED	BRAF, PIC3CA, HER2 mutation status - not done	Molecular markers / BRAF, PIC3CA, HER2 mutation status = Not done	Molecular markers / BRAF, PIC3CA, HER2 mutation status = Not done
urn:ccdg:dataelement:87:1		ENUMERATED	BRAF, PIC3CA, HER2 mutation status - mutated	Molecular markers / BRAF, PIC3CA, HER2 mutation status = Mutated	Molecular markers / BRAF, PIC3CA, HER2 mutation status = Mutated
urn:ccdg:dataelement:87:1		ENUMERATED	BRAF, PIC3CA, HER2 mutation status - not mutated	Molecular markers / BRAF, PIC3CA, HER2 mutation status = Not mutated	Molecular markers / BRAF, PIC3CA, HER2 mutation status = Not mutated
urn:ccdg:dataelement:87:1		ENUMERATED	BRAF, PIC3CA, HER2 mutation status - Partial information available	Molecular markers / BRAF, PIC3CA, HER2 mutation status = Partial information available	Molecular markers / BRAF, PIC3CA, HER2 mutation status = Partial information available
urn:ccdg:dataelement:14:3		ENUMERATED	NOT_DONE	Molecular markers / Microsatellite instability = not done	Molecular markers / Microsatellite instability = not done
urn:ccdg:dataelement:14:3		ENUMERATED	NO	Molecular markers / Microsatellite instability = no	Molecular markers / Microsatellite instability = no
urn:ccdg:dataelement:14:3		ENUMERATED	YES	Molecular markers / Microsatellite instability = yes	Molecular markers / Microsatellite instability = yes
urn:ccdg:dataelement:15:2		ENUMERATED	NOT_DONE	Molecular markers / Mismatch repair gene expression = not done	Molecular markers / Mismatch repair gene expression = not done
urn:ccdg:dataelement:15:2		ENUMERATED	EXPRESSION	Molecular markers / Mismatch repair gene expression = expression	Molecular markers / Mismatch repair gene expression = expression
urn:ccdg:dataelement:15:2		ENUMERATED	LOSS_OF_EXPRESSION	Molecular markers / Mismatch repair gene expression = loss of expression	Molecular markers / Mismatch repair gene expression = loss of expression
urn:ccdg:dataelement:16:3		BOOLEAN	TRUE	Molecular markers / Risk situation (only HNPCC) = TRUE	Molecular markers / Risk situation (only HNPCC) = TRUE
urn:ccdg:dataelement:16:3		BOOLEAN	FALSE	Molecular markers / Risk situation (only HNPCC) = FALSE	Molecular markers / Risk situation (only HNPCC) = FALSE
urn:ccdg:dataelement:36:1		INTEGER		Targeted therapy / Date of end of targeted therapy = INTEGER	Targeted therapy / Date of end of targeted therapy = INTEGER
urn:ccdg:dataelement:35:3		INTEGER		Targeted therapy / Date of start of targeted therapy = INTEGER	Targeted therapy / Date of start of targeted therapy = INTEGER
urn:ccdg:dataelement:54:2		ENUMERATED	Tumor	Sample / Material type = Tumor tissue	Sample / Material type = Tumor tissue
urn:ccdg:dataelement:54:2		ENUMERATED	Healthy colon tissue	Sample / Material type = Healthy colon tissue	Sample / Material type = Healthy colon tissue
urn:ccdg:dataelement:54:2		ENUMERATED	Other	Sample / Material type = Other	Sample / Material type = Other
urn:ccdg:dataelement:55:2		ENUMERATED	FFPE	Sample / Preservation mode = FFPE	Sample / Preservation mode = FFPE
urn:ccdg:dataelement:55:2		ENUMERATED	Cryopreservation	Sample / Preservation mode = Cryopreservation	Sample / Preservation mode = Cryopreservation
urn:ccdg:dataelement:55:2		ENUMERATED	Other	Sample / Preservation mode = Other	Sample / Preservation mode = Other
urn:ccdg:dataelement:56:2		STRING		Sample / Sample ID = STRING	Sample / Sample ID = STRING
urn:ccdg:dataelement:89:3		INTEGER		Sample / Year of sample collection = INTEGER	Sample / Year of sample collection = INTEGER
urn:ccdg:dataelement:93:1		ENUMERATED	Location of tumor - C20.9	Surgery / Location of the tumor = C20.9 - Rectum	Surgery / Location of the tumor = C20.9 - Rectum
urn:ccdg:dataelement:93:1		ENUMERATED	Location of tumor - C20	Surgery / Location of the tumor = C20 - Rectum	Surgery / Location of the tumor = C20 - Rectum
urn:ccdg:dataelement:93:1		ENUMERATED	Location of tumor - C19.9	Surgery / Location of the tumor = C19.9 - Rectosigmoid	Surgery / Location of the tumor = C19.9 - Rectosigmoid
urn:ccdg:dataelement:93:1		ENUMERATED	Location of tumor - C19	Surgery / Location of the tumor = C19 - Rectosigmoid	Surgery / Location of the tumor = C19 - Rectosigmoid
urn:ccdg:dataelement:93:1		ENUMERATED	Location of tumor - C18.7	Surgery / Location of the tumor = C18.7 - Sigmoid	Surgery / Location of the tumor = C18.7 - Sigmoid
urn:ccdg:dataelement:93:1		ENUMERATED	Location of tumor - C18.6	Surgery / Location of the tumor = C18.6 - Descending (left)	Surgery / Location of the tumor = C18.6 - Descending (left)
urn:ccdg:dataelement:93:1		ENUMERATED	Location of tumor - C18.5	Surgery / Location of the tumor = C18.5 - Splenic flexure	Surgery / Location of the tumor = C18.5 - Splenic flexure
urn:ccdg:dataelement:93:1		ENUMERATED	Location of tumor - C18.4	Surgery / Location of the tumor = C18.4 - Transverse colon	Surgery / Location of the tumor = C18.4 - Transverse colon
urn:ccdg:dataelement:93:1		ENUMERATED	Location of tumor - C18.3	Surgery / Location of the tumor = C18.3 - Hepatic flexure	Surgery / Location of the tumor = C18.3 - Hepatic flexure
urn:ccdg:dataelement:93:1		ENUMERATED	Location of tumor - C18.2	Surgery / Location of the tumor = C18.2 - Ascending (right)	Surgery / Location of the tumor = C18.2 - Ascending (right)
urn:ccdg:dataelement:93:1		ENUMERATED	Location of tumor - C18.1	Surgery / Location of the tumor = C18.1 - Appendix	Surgery / Location of the tumor = C18.1 - Appendix
urn:ccdg:dataelement:93:1		ENUMERATED	Location of tumor - C18.0	Surgery / Location of the tumor = C18.0 - Cecum	Surgery / Location of the tumor = C18.0 - Cecum
urn:ccdg:dataelement:67:1		STRING		Surgery / Other surgery type = STRING	Surgery / Other surgery type = STRING
urn:ccdg:dataelement:9:2		ENUMERATED	RX	Surgery / Surgery radicality = RX	Surgery / Surgery radicality = RX
urn:ccdg:dataelement:9:2		ENUMERATED	R0	Surgery / Surgery radicality = R0	Surgery / Surgery radicality = R0
urn:ccdg:dataelement:9:2		ENUMERATED	R1	Surgery / Surgery radicality = R1	Surgery / Surgery radicality = R1
urn:ccdg:dataelement:9:2		ENUMERATED	R2	Surgery / Surgery radicality = R2	Surgery / Surgery radicality = R2
urn:ccdg:dataelement:49:1		ENUMERATED	Right hemicolectomy	Surgery / Surgery type = Right hemicolectomy	Surgery / Surgery type = Right hemicolectomy
urn:ccdg:dataelement:49:1		ENUMERATED	Left hemicolectomy	Surgery / Surgery type = Left hemicolectomy	Surgery / Surgery type = Left hemicolectomy
urn:ccdg:dataelement:49:1		ENUMERATED	Transverse colectomy	Surgery / Surgery type = Transverse colectomy	Surgery / Surgery type = Transverse colectomy
urn:ccdg:dataelement:49:1		ENUMERATED	Sigmoid colectomy	Surgery / Surgery type = Sigmoid colectomy	Surgery / Surgery type = Sigmoid colectomy
urn:ccdg:dataelement:49:1		ENUMERATED	Total colectomy	Surgery / Surgery type = Total colectomy	Surgery / Surgery type = Total colectomy
urn:ccdg:dataelement:49:1		ENUMERATED	Pan-procto colectomy	Surgery / Surgery type = Pan-procto colectomy	Surgery / Surgery type = Pan-procto colectomy
urn:ccdg:dataelement:49:1		ENUMERATED	Low anteroir colon resection	Surgery / Surgery type = Low anteroir colon resection	Surgery / Surgery type = Low anteroir colon resection
urn:ccdg:dataelement:49:1		ENUMERATED	Anterior resection of rectum	Surgery / Surgery type = Anterior resection of rectum	Surgery / Surgery type = Anterior resection of rectum
urn:ccdg:dataelement:49:1		ENUMERATED	Abdomino-perineal resection	Surgery / Surgery type = Abdomino-perineal resection	Surgery / Surgery type = Abdomino-perineal resection
urn:ccdg:dataelement:49:1		ENUMERATED	Endo-rectal tumor resection	Surgery / Surgery type = Endo-rectal tumor resection	Surgery / Surgery type = Endo-rectal tumor resection
urn:ccdg:dataelement:49:1		ENUMERATED	Other	Surgery / Surgery type = Other	Surgery / Surgery type = Other
urn:ccdg:dataelement:8:3		INTEGER		Surgery / Time difference between initial diagnosis and surgery = INTEGER	Surgery / Time difference between initial diagnosis and surgery = INTEGER
urn:ccdg:dataelement:34:1		INTEGER		Response to thearapy / Date response was obtained in weeks since initial diagnosis = INTEGER	Response to thearapy / Date response was obtained in weeks since initial diagnosis = INTEGER
urn:ccdg:dataelement:33:1		ENUMERATED	Specific response - Progressive disease	Response to thearapy / Specific response = Progressive disease	Response to thearapy / Specific response = Progressive disease
urn:ccdg:dataelement:33:1		ENUMERATED	Specific response - Stable disease	Response to thearapy / Specific response = Stable disease	Response to thearapy / Specific response = Stable disease
urn:ccdg:dataelement:33:1		ENUMERATED	Specific response - Partial response	Response to thearapy / Specific response = Partial response	Response to thearapy / Specific response = Partial response
urn:ccdg:dataelement:33:1		ENUMERATED	Specific response - Complete response	Response to thearapy / Specific response = Complete response	Response to thearapy / Specific response = Complete response
urn:ccdg:dataelement:7:2		INTEGER		Vital status and survival information / Overall survival status = INTEGER	Vital status and survival information / Overall survival status = INTEGER
urn:ccdg:dataelement:6:3		DATE		Vital status and survival information / Timestamp of last update of vital status = DATE	Vital status and survival information / Timestamp of last update of vital status = DATE
urn:ccdg:dataelement:5:2		ENUMERATED	UNKNOWN	Vital status and survival information / Vital status = unknown	Vital status and survival information / Vital status = unknown
urn:ccdg:dataelement:5:2		ENUMERATED	DEATH_UNKNOWN_REASON	Vital status and survival information / Vital status = death for unknown reasons	Vital status and survival information / Vital status = death for unknown reasons
urn:ccdg:dataelement:5:2		ENUMERATED	DEATH_OTHER	Vital status and survival information / Vital status = death due to other reasons	Vital status and survival information / Vital status = death due to other reasons
urn:ccdg:dataelement:5:2		ENUMERATED	DEATH_COLON_CANCER	Vital status and survival information / Vital status = death due to colon cancer	Vital status and survival information / Vital status = death due to colon cancer
urn:ccdg:dataelement:5:2		ENUMERATED	ALIVE	Vital status and survival information / Vital status = person is still alive	Vital status and survival information / Vital status = person is still alive
